Nr;ID;Name;Age;Nationality;Club;Club Logo;Value;Wage;Preferred Foot;Position;Height;Weight
0;158023;L. Messi;31;Argentina;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€110.5M;€565K;Left;RF;5'7;159lbs
1;20801;Cristiano Ronaldo;33;Portugal;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€77M;€405K;Right;ST;6'2;183lbs
2;190871;Neymar Jr;26;Brazil;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€118.5M;€290K;Right;LW;5'9;150lbs
3;193080;De Gea;27;Spain;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€72M;€260K;Right;GK;6'4;168lbs
4;192985;K. De Bruyne;27;Belgium;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€102M;€355K;Right;RCM;5'11;154lbs
5;183277;E. Hazard;27;Belgium;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€93M;€340K;Right;LF;5'8;163lbs
6;177003;L. Modrić;32;Croatia;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€67M;€420K;Right;RCM;5'8;146lbs
7;176580;L. Suárez;31;Uruguay;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€80M;€455K;Right;RS;6'0;190lbs
8;155862;Sergio Ramos;32;Spain;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€51M;€380K;Right;RCB;6'0;181lbs
9;200389;J. Oblak;25;Slovenia;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€68M;€94K;Right;GK;6'2;192lbs
10;188545;R. Lewandowski;29;Poland;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€77M;€205K;Right;ST;6'0;176lbs
11;182521;T. Kroos;28;Germany;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€76.5M;€355K;Right;LCM;6'0;168lbs
12;182493;D. Godín;32;Uruguay;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€44M;€125K;Right;CB;6'2;172lbs
